Time[s] Temp[graderC] Pressure[mbar] altitude[m] accX[mg] accY[mg] accZ[mg] gyroX[degrees/s] gyroY[degrees/s] gyroZ[degrees/s] magX[µT] magY[µT] magZ[µT]
0.97 23.94 1022.06 28.10 0.032696 -0.038552 1.012112 0.56 0.07 -0.84 -0.1395 -0.4995 -0.6390
0.98 23.94 1022.15 28.11 0.031720 -0.036600 1.013576 0.56 0.00 -0.84 -0.1320 -0.4875 -0.6405
0.99 23.94 1022.20 28.09 0.032208 -0.037576 1.013576 0.63 0.07 -0.77 -0.1410 -0.4860 -0.6420
1.00 23.94 1022.20 28.08 0.031720 -0.036600 1.010648 0.63 0.07 -0.77 -0.1410 -0.4890 -0.6390
1.01 23.94 1022.29 28.03 0.032208 -0.037576 1.012112 0.63 0.00 -0.77 -0.1395 -0.4875 -0.6375
1.02 23.94 1022.18 28.03 0.032208 -0.035136 1.012600 0.63 0.07 -0.77 -0.1380 -0.4920 -0.6345
1.03 23.94 1022.15 28.04 0.033672 -0.036600 1.013088 0.63 0.07 -0.77 -0.1380 -0.4875 -0.6420
1.04 23.94 1022.15 28.05 0.032208 -0.037088 1.012600 0.63 0.14 -0.77 -0.1380 -0.4935 -0.6375
1.05 23.94 1022.22 28.03 0.031232 -0.037576 1.013088 0.63 0.14 -0.77 -0.1350 -0.4995 -0.6285
1.06 23.94 1022.13 28.05 0.032696 -0.035136 1.011624 0.63 0.14 -0.77 -0.1335 -0.4905 -0.6420
1.07 23.94 1022.18 28.05 0.031720 -0.037088 1.010648 0.56 0.07 -0.77 -0.1320 -0.4980 -0.6285
1.08 23.94 1022.18 28.05 0.032696 -0.035624 1.012600 0.56 0.07 -0.77 -0.1380 -0.4950 -0.6345
1.09 23.94 1022.19 28.04 0.032696 -0.036112 1.012600 0.56 0.07 -0.77 -0.1335 -0.4905 -0.6300
1.10 23.94 1022.22 28.02 0.031232 -0.035136 1.013576 0.63 0.07 -0.77 -0.1290 -0.4845 -0.6360
1.11 23.94 1022.11 28.05 0.030256 -0.037576 1.012112 0.56 0.07 -0.77 -0.1335 -0.4845 -0.6390
1.12 23.94 1022.11 28.08 0.032696 -0.037576 1.013088 0.56 0.07 -0.77 -0.1380 -0.4920 -0.6315
1.13 23.94 1022.22 28.06 0.034648 -0.037576 1.012600 0.63 0.07 -0.84 -0.1365 -0.4875 -0.6435
1.14 23.94 1022.19 28.05 0.032208 -0.038064 1.011136 0.63 0.14 -0.84 -0.1320 -0.4935 -0.6375
1.15 23.94 1022.21 28.04 0.033184 -0.037088 1.013576 0.63 0.07 -0.77 -0.1365 -0.4860 -0.6330
1.16 23.94 1022.21 28.02 0.032696 -0.036600 1.013088 0.56 0.14 -0.84 -0.1395 -0.4980 -0.6405
1.17 23.94 1022.12 28.05 0.033184 -0.038064 1.013088 0.63 0.14 -0.77 -0.1395 -0.4995 -0.6420
1.18 23.88 1022.05 28.10 0.033672 -0.037088 1.011624 0.63 0.14 -0.77 -0.1410 -0.4890 -0.6285
1.19 23.88 1022.17 28.10 0.032696 -0.038064 1.012112 0.63 0.14 -0.77 -0.1410 -0.4950 -0.6420
1.20 23.88 1022.17 28.10 0.033672 -0.036600 1.013576 0.63 0.21 -0.77 -0.1335 -0.4995 -0.6360
1.21 23.88 1022.18 28.10 0.033184 -0.037576 1.013576 0.56 0.14 -0.77 -0.1350 -0.4950 -0.6330
1.22 23.88 1022.13 28.11 0.032696 -0.036112 1.013088 0.56 0.14 -0.77 -0.1395 -0.4950 -0.6375
1.24 23.88 1022.15 28.12 0.033184 -0.035136 1.012600 0.63 0.14 -0.77 -0.1320 -0.4905 -0.6450
1.26 23.88 1022.13 28.14 0.034648 -0.037088 1.012112 0.63 0.07 -0.77 -0.1275 -0.4845 -0.6285
1.28 23.88 1022.23 28.11 0.033184 -0.038552 1.012600 0.56 0.00 -0.77 -0.1350 -0.4875 -0.6345
1.29 23.88 1022.16 28.11 0.033672 -0.036600 1.011136 0.56 0.07 -0.77 -0.1290 -0.4890 -0.6345
1.30 23.88 1022.13 28.13 0.034160 -0.035136 1.011136 0.56 0.07 -0.84 -0.1470 -0.4995 -0.6330
1.32 23.94 1022.23 28.11 0.033672 -0.035624 1.012600 0.56 0.07 -0.77 -0.1350 -0.4935 -0.6480
1.33 23.94 1022.09 28.14 0.032208 -0.037088 1.012112 0.56 0.07 -0.77 -0.1290 -0.4965 -0.6255
1.34 23.94 1022.28 28.09 0.031720 -0.037576 1.012112 0.63 0.07 -0.77 -0.1365 -0.4890 -0.6345
1.35 23.94 1022.17 28.09 0.031720 -0.037088 1.012600 0.63 0.07 -0.84 -0.1395 -0.4920 -0.6345
1.36 23.94 1022.17 28.10 0.031720 -0.036112 1.012112 0.63 0.07 -0.77 -0.1320 -0.4845 -0.6315
1.37 23.94 1022.06 28.14 0.034648 -0.037576 1.013088 0.63 0.07 -0.77 -0.1365 -0.4965 -0.6285
1.38 23.94 1022.23 28.12 0.031720 -0.036600 1.012112 0.56 0.07 -0.84 -0.1365 -0.4800 -0.6330
1.39 23.94 1022.12 28.14 0.031232 -0.036600 1.015040 0.56 0.07 -0.77 -0.1335 -0.4965 -0.6330
1.40 23.94 1022.12 28.16 0.033184 -0.036112 1.013088 0.56 0.07 -0.77 -0.1350 -0.4875 -0.6405
1.41 23.94 1022.11 28.18 0.032696 -0.037088 1.013576 0.56 0.07 -0.77 -0.1380 -0.4950 -0.6360
1.42 23.94 1022.11 28.20 0.031232 -0.037576 1.011624 0.56 0.07 -0.77 -0.1350 -0.4905 -0.6375
1.43 23.94 1022.11 28.22 0.033672 -0.038064 1.014064 0.56 0.07 -0.77 -0.1395 -0.4905 -0.6330
